,name,company,year,Price,kms_driven,fuel_type
292,Maruti Swift Dzire,Maruti,2016,588000,31172,Petrol
293,Hyundai Grand i10,Hyundai,2016,451999,24395,Petrol
294,MG Hector Sharp,MG,2021,1825000,11050,Petrol
295,Toyota Innova 2.5,Toyota,2013,774000,123394,Diesel
296,Maruti Swift ZDi,Maruti,2013,421000,105053,Diesel
297,Hyundai i20 Sportz,Hyundai,2021,844000,10283,Petrol
298,Tata Harrier XZ,Tata,2022,2199000,2443,Diesel
299,Toyota Fortuner 2.7,Toyota,2019,3100000,44000,Petrol
300,Audi Q5 3.0,Audi,2011,994999,68000,Diesel
301,Mahindra Ssangyong Rexton,Mahindra,2013,975000,72000,Diesel
302,Hyundai i10 Magna,Hyundai,2011,225000,38000,Petrol
303,Maruti Swift Dzire,Maruti,2019,650000,65000,Petrol
304,Audi Q7 45,Audi,2014,1875000,43000,Diesel
305,Hyundai i10 Sportz,Hyundai,2014,425000,52000,Petrol
306,Mahindra XUV500 W8,Mahindra,2012,745000,117000,Diesel
307,Hyundai Verna 1.6,Hyundai,2016,825000,84000,Petrol
308,Maruti Alto 800,Maruti,2015,204000,45080,Petrol
309,Maruti Eeco 5,Maruti,2019,470000,39341,Petrol
310,Mahindra Scorpio 2.6,Mahindra,2007,330000,133000,Diesel
311,Mahindra e2o T2,Mahindra,2014,321000,54112,Electric
312,Hyundai i20 Sportz,Hyundai,2020,819999,14824,Petrol
313,Honda City i,Honda,2017,925000,82500,Petrol
314,Kia Seltos HTK,Kia,2020,1349000,17922,Petrol
315,BMW X7 xDrive,BMW,2019,12300000,13000,Petrol
316,Mitsubishi Pajero Sport,Mitsubishi,2015,1675000,85000,Diesel
317,Hyundai Grand i10,Hyundai,2015,575000,67000,Petrol
318,Honda Jazz V,Honda,2018,745000,35000,Petrol
319,Maruti Alto 800,Maruti,2016,345000,53000,Petrol
320,MG Hector Hybrid,MG,2022,2075000,598,Petrol
321,Maruti Ertiga ZDI,Maruti,2019,892000,75727,Diesel
322,Kia Seltos GTX,Kia,2020,1889999,7000,Petrol
323,Maruti Vitara Brezza,Maruti,2016,858000,62403,Diesel
324,Volkswagen Polo 1.5,Volkswagen,2014,453000,44487,Diesel
325,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2020,3900000,24000,Diesel
326,Toyota Innova Crysta,Toyota,2020,2850000,47000,Diesel
327,Hyundai i10 Magna,Hyundai,2008,190000,31212,Petrol
328,Skoda Superb Laurin,Skoda,2020,3365000,17776,Petrol
329,Hyundai Verna 1.6,Hyundai,2015,658000,31837,Diesel
330,Audi A3 35,Audi,2020,2580000,39000,Diesel
331,Maruti Alto LXi,Maruti,2006,120000,78000,Petrol
332,Ford Ecosport 1.5,Ford,2020,1185000,31000,Petrol
333,Maruti Swift VDI,Maruti,2013,388000,115986,Diesel
334,Toyota Etios G,Toyota,2014,392000,73029,Petrol
335,Hyundai Verna 1.6,Hyundai,2013,635000,25000,Petrol
336,Honda Amaze E,Honda,2013,244000,74809,Diesel
337,Hyundai i20 1.2,Hyundai,2011,272000,33560,Petrol
338,Hyundai i10 Sportz,Hyundai,2011,286000,40821,Petrol
339,Mercedes-Benz C-Class C,Mercedes-Benz,2014,1575000,58000,Diesel
340,Ford Figo Petrol,Ford,2010,163000,75991,Petrol
341,Maruti Swift ZXI,Maruti,2008,178000,136432,Petrol
343,Toyota Innova Crysta,Toyota,2016,1725000,83000,Diesel
344,Hyundai Santro Xing,Hyundai,2008,111000,51915,Petrol
345,Volkswagen Polo GT,Volkswagen,2014,550000,63100,Petrol
346,Mercedes-Benz GLE 250d,Mercedes-Benz,2017,4800000,54000,Diesel
347,BMW X1 sDrive20d,BMW,2021,4550000,9000,Diesel
348,Hyundai Santro Xing,Hyundai,2012,325000,46833,Petrol
349,Hyundai Verna 1.6,Hyundai,2012,525000,78744,Diesel
350,Maruti Swift VDI,Maruti,2014,490000,79542,Diesel
351,Honda City 1.5,Honda,2010,459999,96000,Petrol
352,Kia Sonet GTX,Kia,2021,1325000,13000,Petrol
353,Maruti Swift VDI,Maruti,2010,380000,44521,Diesel
354,Hyundai Grand i10,Hyundai,2017,547000,29927,Petrol
